forecast_id,product_id,forecast_date,target_date,predicted_demand,lower_bound,upper_bound,model_name,model_version
1,P001,2026-08-21,2026-08-22,26.21,20.89,31.53,XGBoost-Demand-v1,1.0.0
2,P001,2026-08-21,2026-08-23,26.29,20.97,31.61,XGBoost-Demand-v1,1.0.0
3,P001,2026-08-21,2026-08-24,26.37,21.05,31.69,XGBoost-Demand-v1,1.0.0
4,P001,2026-08-21,2026-08-25,26.45,21.13,31.77,XGBoost-Demand-v1,1.0.0
5,P001,2026-08-21,2026-08-26,26.53,21.21,31.84,XGBoost-Demand-v1,1.0.0
6,P001,2026-08-21,2026-08-27,26.6,21.29,31.92,XGBoost-Demand-v1,1.0.0
7,P001,2026-08-21,2026-08-28,26.68,21.36,32.0,XGBoost-Demand-v1,1.0.0
8,P001,2026-08-21,2026-08-29,26.76,21.44,32.08,XGBoost-Demand-v1,1.0.0
9,P001,2026-08-21,2026-08-30,26.84,21.52,32.16,XGBoost-Demand-v1,1.0.0
10,P001,2026-08-21,2026-08-31,26.92,21.6,32.24,XGBoost-Demand-v1,1.0.0
11,P001,2026-08-21,2026-09-01,27.0,21.68,32.31,XGBoost-Demand-v1,1.0.0
12,P001,2026-08-21,2026-09-02,27.07,21.76,32.39,XGBoost-Demand-v1,1.0.0
13,P001,2026-08-21,2026-09-03,27.15,21.83,32.47,XGBoost-Demand-v1,1.0.0
14,P001,2026-08-21,2026-09-04,27.23,21.91,32.55,XGBoost-Demand-v1,1.0.0
15,P002,2026-08-21,2026-08-22,84.51,69.89,99.14,XGBoost-Demand-v1,1.0.0
16,P002,2026-08-21,2026-08-23,84.77,70.14,99.39,XGBoost-Demand-v1,1.0.0
17,P002,2026-08-21,2026-08-24,85.02,70.39,99.65,XGBoost-Demand-v1,1.0.0
18,P002,2026-08-21,2026-08-25,85.27,70.64,99.9,XGBoost-Demand-v1,1.0.0
19,P002,2026-08-21,2026-08-26,85.53,70.9,100.15,XGBoost-Demand-v1,1.0.0
20,P002,2026-08-21,2026-08-27,85.78,71.15,100.41,XGBoost-Demand-v1,1.0.0
21,P002,2026-08-21,2026-08-28,86.03,71.4,100.66,XGBoost-Demand-v1,1.0.0
22,P002,2026-08-21,2026-08-29,86.28,71.66,100.91,XGBoost-Demand-v1,1.0.0
23,P002,2026-08-21,2026-08-30,86.54,71.91,101.16,XGBoost-Demand-v1,1.0.0
24,P002,2026-08-21,2026-08-31,86.79,72.16,101.42,XGBoost-Demand-v1,1.0.0
25,P002,2026-08-21,2026-09-01,87.04,72.41,101.67,XGBoost-Demand-v1,1.0.0
26,P002,2026-08-21,2026-09-02,87.29,72.67,101.92,XGBoost-Demand-v1,1.0.0
27,P002,2026-08-21,2026-09-03,87.55,72.92,102.18,XGBoost-Demand-v1,1.0.0
28,P002,2026-08-21,2026-09-04,87.8,73.17,102.43,XGBoost-Demand-v1,1.0.0
29,P003,2026-08-21,2026-08-22,103.24,74.49,131.98,XGBoost-Demand-v1,1.0.0
30,P003,2026-08-21,2026-08-23,103.55,74.8,132.29,XGBoost-Demand-v1,1.0.0
31,P003,2026-08-21,2026-08-24,103.85,75.11,132.6,XGBoost-Demand-v1,1.0.0
32,P003,2026-08-21,2026-08-25,104.16,75.42,132.91,XGBoost-Demand-v1,1.0.0
33,P003,2026-08-21,2026-08-26,104.47,75.73,133.22,XGBoost-Demand-v1,1.0.0
34,P003,2026-08-21,2026-08-27,104.78,76.04,133.53,XGBoost-Demand-v1,1.0.0
35,P003,2026-08-21,2026-08-28,105.09,76.35,133.83,XGBoost-Demand-v1,1.0.0
36,P003,2026-08-21,2026-08-29,105.4,76.65,134.14,XGBoost-Demand-v1,1.0.0
37,P003,2026-08-21,2026-08-30,105.71,76.96,134.45,XGBoost-Demand-v1,1.0.0
38,P003,2026-08-21,2026-08-31,106.02,77.27,134.76,XGBoost-Demand-v1,1.0.0
39,P003,2026-08-21,2026-09-01,106.32,77.58,135.07,XGBoost-Demand-v1,1.0.0
40,P003,2026-08-21,2026-09-02,106.63,77.89,135.38,XGBoost-Demand-v1,1.0.0
41,P003,2026-08-21,2026-09-03,106.94,78.2,135.69,XGBoost-Demand-v1,1.0.0
42,P003,2026-08-21,2026-09-04,107.25,78.51,136.0,XGBoost-Demand-v1,1.0.0
43,P004,2026-08-21,2026-08-22,79.57,63.31,95.84,XGBoost-Demand-v1,1.0.0
44,P004,2026-08-21,2026-08-23,79.81,63.55,96.07,XGBoost-Demand-v1,1.0.0
45,P004,2026-08-21,2026-08-24,80.05,63.78,96.31,XGBoost-Demand-v1,1.0.0
46,P004,2026-08-21,2026-08-25,80.29,64.02,96.55,XGBoost-Demand-v1,1.0.0
47,P004,2026-08-21,2026-08-26,80.52,64.26,96.79,XGBoost-Demand-v1,1.0.0
48,P004,2026-08-21,2026-08-27,80.76,64.5,97.03,XGBoost-Demand-v1,1.0.0
49,P004,2026-08-21,2026-08-28,81.0,64.74,97.26,XGBoost-Demand-v1,1.0.0
50,P004,2026-08-21,2026-08-29,81.24,64.97,97.5,XGBoost-Demand-v1,1.0.0
51,P004,2026-08-21,2026-08-30,81.48,65.21,97.74,XGBoost-Demand-v1,1.0.0
52,P004,2026-08-21,2026-08-31,81.71,65.45,97.98,XGBoost-Demand-v1,1.0.0
53,P004,2026-08-21,2026-09-01,81.95,65.69,98.22,XGBoost-Demand-v1,1.0.0
54,P004,2026-08-21,2026-09-02,82.19,65.93,98.45,XGBoost-Demand-v1,1.0.0
55,P004,2026-08-21,2026-09-03,82.43,66.16,98.69,XGBoost-Demand-v1,1.0.0
56,P004,2026-08-21,2026-09-04,82.67,66.4,98.93,XGBoost-Demand-v1,1.0.0
57,P005,2026-08-21,2026-08-22,55.61,42.58,68.63,XGBoost-Demand-v1,1.0.0
58,P005,2026-08-21,2026-08-23,55.77,42.75,68.8,XGBoost-Demand-v1,1.0.0
59,P005,2026-08-21,2026-08-24,55.94,42.91,68.97,XGBoost-Demand-v1,1.0.0
60,P005,2026-08-21,2026-08-25,56.11,43.08,69.13,XGBoost-Demand-v1,1.0.0
61,P005,2026-08-21,2026-08-26,56.27,43.25,69.3,XGBoost-Demand-v1,1.0.0
62,P005,2026-08-21,2026-08-27,56.44,43.41,69.46,XGBoost-Demand-v1,1.0.0
63,P005,2026-08-21,2026-08-28,56.6,43.58,69.63,XGBoost-Demand-v1,1.0.0
64,P005,2026-08-21,2026-08-29,56.77,43.74,69.8,XGBoost-Demand-v1,1.0.0
65,P005,2026-08-21,2026-08-30,56.94,43.91,69.96,XGBoost-Demand-v1,1.0.0
66,P005,2026-08-21,2026-08-31,57.1,44.08,70.13,XGBoost-Demand-v1,1.0.0
67,P005,2026-08-21,2026-09-01,57.27,44.24,70.3,XGBoost-Demand-v1,1.0.0
68,P005,2026-08-21,2026-09-02,57.44,44.41,70.46,XGBoost-Demand-v1,1.0.0
69,P005,2026-08-21,2026-09-03,57.6,44.58,70.63,XGBoost-Demand-v1,1.0.0
70,P005,2026-08-21,2026-09-04,57.77,44.74,70.79,XGBoost-Demand-v1,1.0.0
71,P006,2026-08-21,2026-08-22,106.31,83.38,129.24,XGBoost-Demand-v1,1.0.0
72,P006,2026-08-21,2026-08-23,106.63,83.69,129.56,XGBoost-Demand-v1,1.0.0
73,P006,2026-08-21,2026-08-24,106.94,84.01,129.87,XGBoost-Demand-v1,1.0.0
74,P006,2026-08-21,2026-08-25,107.26,84.33,130.19,XGBoost-Demand-v1,1.0.0
75,P006,2026-08-21,2026-08-26,107.58,84.65,130.51,XGBoost-Demand-v1,1.0.0
76,P006,2026-08-21,2026-08-27,107.9,84.97,130.83,XGBoost-Demand-v1,1.0.0
77,P006,2026-08-21,2026-08-28,108.22,85.28,131.15,XGBoost-Demand-v1,1.0.0
78,P006,2026-08-21,2026-08-29,108.53,85.6,131.46,XGBoost-Demand-v1,1.0.0
79,P006,2026-08-21,2026-08-30,108.85,85.92,131.78,XGBoost-Demand-v1,1.0.0
80,P006,2026-08-21,2026-08-31,109.17,86.24,132.1,XGBoost-Demand-v1,1.0.0
81,P006,2026-08-21,2026-09-01,109.49,86.56,132.42,XGBoost-Demand-v1,1.0.0
82,P006,2026-08-21,2026-09-02,109.8,86.87,132.74,XGBoost-Demand-v1,1.0.0
83,P006,2026-08-21,2026-09-03,110.12,87.19,133.05,XGBoost-Demand-v1,1.0.0
84,P006,2026-08-21,2026-09-04,110.44,87.51,133.37,XGBoost-Demand-v1,1.0.0
85,P007,2026-08-21,2026-08-22,42.65,35.1,50.2,XGBoost-Demand-v1,1.0.0
86,P007,2026-08-21,2026-08-23,42.78,35.23,50.33,XGBoost-Demand-v1,1.0.0
87,P007,2026-08-21,2026-08-24,42.91,35.36,50.46,XGBoost-Demand-v1,1.0.0
88,P007,2026-08-21,2026-08-25,43.03,35.48,50.58,XGBoost-Demand-v1,1.0.0
89,P007,2026-08-21,2026-08-26,43.16,35.61,50.71,XGBoost-Demand-v1,1.0.0
90,P007,2026-08-21,2026-08-27,43.29,35.74,50.84,XGBoost-Demand-v1,1.0.0
91,P007,2026-08-21,2026-08-28,43.42,35.87,50.97,XGBoost-Demand-v1,1.0.0
92,P007,2026-08-21,2026-08-29,43.54,35.99,51.09,XGBoost-Demand-v1,1.0.0
93,P007,2026-08-21,2026-08-30,43.67,36.12,51.22,XGBoost-Demand-v1,1.0.0
94,P007,2026-08-21,2026-08-31,43.8,36.25,51.35,XGBoost-Demand-v1,1.0.0
95,P007,2026-08-21,2026-09-01,43.93,36.38,51.48,XGBoost-Demand-v1,1.0.0
96,P007,2026-08-21,2026-09-02,44.05,36.5,51.6,XGBoost-Demand-v1,1.0.0
