inventory_id,snapshot_date,product_id,opening_stock,units_received,units_sold,closing_stock,reserved_stock
1,2025-01-01,P001,172,0,19,153,10
2,2025-01-02,P001,153,0,18,135,3
3,2025-01-03,P001,135,0,19,116,4
4,2025-01-04,P001,116,0,19,97,4
5,2025-01-05,P001,97,0,18,79,1
6,2025-01-06,P001,79,98,18,159,6
7,2025-01-07,P001,159,0,21,138,1
8,2025-01-08,P001,138,0,20,118,6
9,2025-01-09,P001,118,0,17,101,7
10,2025-01-10,P001,101,0,19,82,11
11,2025-01-11,P001,82,99,19,162,7
12,2025-01-12,P001,162,0,15,147,7
13,2025-01-13,P001,147,0,19,128,11
14,2025-01-14,P001,128,0,14,114,2
15,2025-01-15,P001,114,0,14,100,3
16,2025-01-16,P001,100,110,21,189,15
17,2025-01-17,P001,189,0,16,173,15
18,2025-01-18,P001,173,0,17,156,7
19,2025-01-19,P001,156,0,14,142,14
20,2025-01-20,P001,142,0,15,127,5
21,2025-01-21,P001,127,0,46,81,14
22,2025-01-22,P001,81,139,18,202,12
23,2025-01-23,P001,202,0,18,184,14
24,2025-01-24,P001,184,0,15,169,5
25,2025-01-25,P001,169,0,15,154,7
26,2025-01-26,P001,154,0,16,138,12
27,2025-01-27,P001,138,0,16,122,0
28,2025-01-28,P001,122,0,19,103,9
29,2025-01-29,P001,103,0,17,86,5
30,2025-01-30,P001,86,129,18,197,13
31,2025-01-31,P001,197,0,17,180,10
32,2025-02-01,P001,180,0,19,161,3
33,2025-02-02,P001,161,0,16,145,9
34,2025-02-03,P001,145,0,16,129,8
35,2025-02-04,P001,129,0,20,109,8
36,2025-02-05,P001,109,0,16,93,12
37,2025-02-06,P001,93,114,19,188,6
38,2025-02-07,P001,188,0,14,174,0
39,2025-02-08,P001,174,0,13,161,12
40,2025-02-09,P001,161,0,16,145,4
41,2025-02-10,P001,145,0,20,125,0
42,2025-02-11,P001,125,0,19,106,12
43,2025-02-12,P001,106,0,18,88,2
44,2025-02-13,P001,88,118,18,188,3
45,2025-02-14,P001,188,0,17,171,14
46,2025-02-15,P001,171,0,19,152,4
47,2025-02-16,P001,152,0,15,137,1
48,2025-02-17,P001,137,0,27,110,5
49,2025-02-18,P001,110,0,19,91,2
50,2025-02-19,P001,91,81,14,158,0
51,2025-02-20,P001,158,0,19,139,8
52,2025-02-21,P001,139,0,17,122,7
53,2025-02-22,P001,122,0,15,107,6
54,2025-02-23,P001,107,0,17,90,3
55,2025-02-24,P001,90,0,21,69,2
56,2025-02-25,P001,69,94,20,143,2
57,2025-02-26,P001,143,0,17,126,14
58,2025-02-27,P001,126,0,22,104,13
59,2025-02-28,P001,104,0,21,83,7
60,2025-03-01,P001,83,0,19,64,0
61,2025-03-02,P001,64,80,16,128,14
62,2025-03-03,P001,128,0,19,109,8
63,2025-03-04,P001,109,0,17,92,10
64,2025-03-05,P001,92,116,16,192,9
65,2025-03-06,P001,192,0,24,168,7
66,2025-03-07,P001,168,0,23,145,5
67,2025-03-08,P001,145,0,17,128,14
68,2025-03-09,P001,128,0,19,109,3
69,2025-03-10,P001,109,0,20,89,5
70,2025-03-11,P001,89,80,18,151,4
71,2025-03-12,P001,151,0,20,131,8
72,2025-03-13,P001,131,0,23,108,8
73,2025-03-14,P001,108,0,25,83,3
74,2025-03-15,P001,83,132,20,195,2
75,2025-03-16,P001,195,0,12,183,12
76,2025-03-17,P001,183,0,21,162,6
77,2025-03-18,P001,162,0,26,136,13
78,2025-03-19,P001,136,0,19,117,5
79,2025-03-20,P001,117,0,19,98,8
80,2025-03-21,P001,98,0,15,83,1
81,2025-03-22,P001,83,122,17,188,3
82,2025-03-23,P001,188,0,18,170,13
83,2025-03-24,P001,170,0,23,147,7
84,2025-03-25,P001,147,0,18,129,4
85,2025-03-26,P001,129,0,17,112,7
86,2025-03-27,P001,112,0,21,91,3
87,2025-03-28,P001,91,81,21,151,10
88,2025-03-29,P001,151,0,18,133,15
89,2025-03-30,P001,133,0,16,117,9
90,2025-03-31,P001,117,0,21,96,2
91,2025-04-01,P001,96,140,23,213,13
92,2025-04-02,P001,213,0,21,192,5
93,2025-04-03,P001,192,0,18,174,5
94,2025-04-04,P001,174,0,19,155,13
95,2025-04-05,P001,155,0,18,137,10
96,2025-04-06,P001,137,0,14,123,8
97,2025-04-07,P001,123,0,26,97,3
98,2025-04-08,P001,97,96,20,173,11
99,2025-04-09,P001,173,0,19,154,6
100,2025-04-10,P001,154,0,19,135,11
101,2025-04-11,P001,135,0,16,119,2
102,2025-04-12,P001,119,0,16,103,13
103,2025-04-13,P001,103,0,17,86,7
104,2025-04-14,P001,86,89,17,158,3
105,2025-04-15,P001,158,0,19,139,13
106,2025-04-16,P001,139,0,20,119,9
107,2025-04-17,P001,119,0,29,90,8
108,2025-04-18,P001,90,132,20,202,8
109,2025-04-19,P001,202,0,18,184,15
110,2025-04-20,P001,184,0,17,167,3
111,2025-04-21,P001,167,0,15,152,6
112,2025-04-22,P001,152,0,19,133,5
113,2025-04-23,P001,133,0,19,114,1
114,2025-04-24,P001,114,0,34,80,3
115,2025-04-25,P001,80,102,19,163,3
116,2025-04-26,P001,163,0,18,145,10
117,2025-04-27,P001,145,0,17,128,10
118,2025-04-28,P001,128,0,17,111,3
119,2025-04-29,P001,111,0,22,89,3
120,2025-04-30,P001,89,90,21,158,3
121,2025-05-01,P001,158,0,20,138,1
122,2025-05-02,P001,138,0,16,122,3
123,2025-05-03,P001,122,0,19,103,9
124,2025-05-04,P001,103,0,14,89,12
125,2025-05-05,P001,89,104,20,173,11
126,2025-05-06,P001,173,0,24,149,7
127,2025-05-07,P001,149,0,16,133,10
128,2025-05-08,P001,133,0,17,116,12
129,2025-05-09,P001,116,0,19,97,5
130,2025-05-10,P001,97,0,16,81,0
131,2025-05-11,P001,81,114,14,181,1
132,2025-05-12,P001,181,0,19,162,3
133,2025-05-13,P001,162,0,16,146,4
134,2025-05-14,P001,146,0,20,126,7
135,2025-05-15,P001,126,0,17,109,10
136,2025-05-16,P001,109,0,23,86,13
137,2025-05-17,P001,86,90,15,161,12
138,2025-05-18,P001,161,0,19,142,15
139,2025-05-19,P001,142,0,20,122,12
140,2025-05-20,P001,122,0,16,106,12
141,2025-05-21,P001,106,0,19,87,1
142,2025-05-22,P001,87,92,22,157,12
143,2025-05-23,P001,157,0,15,142,5
144,2025-05-24,P001,142,0,17,125,14
145,2025-05-25,P001,125,0,22,103,8
146,2025-05-26,P001,103,0,20,83,14
147,2025-05-27,P001,83,138,16,205,2
148,2025-05-28,P001,205,0,15,190,2
149,2025-05-29,P001,190,0,20,170,6
150,2025-05-30,P001,170,0,20,150,7
151,2025-05-31,P001,150,0,17,133,9
152,2025-06-01,P001,133,0,17,116,15
153,2025-06-02,P001,116,0,17,99,14
154,2025-06-03,P001,99,0,19,80,1
155,2025-06-04,P001,80,91,20,151,0
156,2025-06-05,P001,151,0,17,134,8
157,2025-06-06,P001,134,0,23,111,15
158,2025-06-07,P001,111,0,17,94,7
159,2025-06-08,P001,94,0,14,80,0
160,2025-06-09,P001,80,0,21,59,0
161,2025-06-10,P001,59,101,17,143,3
162,2025-06-11,P001,143,0,21,122,6
163,2025-06-12,P001,122,0,35,87,3
164,2025-06-13,P001,87,118,17,188,5
165,2025-06-14,P001,188,0,19,169,9
166,2025-06-15,P001,169,0,17,152,2
167,2025-06-16,P001,152,0,21,131,9
168,2025-06-17,P001,131,0,23,108,7
169,2025-06-18,P001,108,0,19,89,0
170,2025-06-19,P001,89,117,17,189,9
171,2025-06-20,P001,189,0,17,172,12
172,2025-06-21,P001,172,0,15,157,14
173,2025-06-22,P001,157,0,16,141,9
174,2025-06-23,P001,141,0,19,122,4
175,2025-06-24,P001,122,0,20,102,10
176,2025-06-25,P001,102,0,21,81,13
177,2025-06-26,P001,81,82,18,145,0
178,2025-06-27,P001,145,0,22,123,2
179,2025-06-28,P001,123,0,16,107,14
180,2025-06-29,P001,107,0,22,85,13
181,2025-06-30,P001,85,108,20,173,7
182,2025-07-01,P001,173,0,17,156,8
183,2025-07-02,P001,156,0,16,140,11
184,2025-07-03,P001,140,0,20,120,0
185,2025-07-04,P001,120,0,18,102,1
186,2025-07-05,P001,102,0,18,84,8
187,2025-07-06,P001,84,126,18,192,2
188,2025-07-07,P001,192,0,18,174,2
189,2025-07-08,P001,174,0,16,158,6
190,2025-07-09,P001,158,0,15,143,1
191,2025-07-10,P001,143,0,18,125,6
192,2025-07-11,P001,125,0,21,104,0
193,2025-07-12,P001,104,0,17,87,14
194,2025-07-13,P001,87,129,15,201,2
195,2025-07-14,P001,201,0,20,181,15
196,2025-07-15,P001,181,0,19,162,0
197,2025-07-16,P001,162,0,17,145,12
198,2025-07-17,P001,145,0,20,125,3
199,2025-07-18,P001,125,0,20,105,12
200,2025-07-19,P001,105,0,15,90,12
201,2025-07-20,P001,90,114,17,187,13
202,2025-07-21,P001,187,0,20,167,9
203,2025-07-22,P001,167,0,21,146,4
204,2025-07-23,P001,146,0,21,125,0
205,2025-07-24,P001,125,0,16,109,15
206,2025-07-25,P001,109,0,17,92,4
207,2025-07-26,P001,92,89,18,163,3
208,2025-07-27,P001,163,0,17,146,12
209,2025-07-28,P001,146,0,21,125,12
210,2025-07-29,P001,125,0,28,97,4
211,2025-07-30,P001,97,115,21,191,8
212,2025-07-31,P001,191,0,24,167,8
213,2025-08-01,P001,167,0,25,142,1
214,2025-08-02,P001,142,0,21,121,10
215,2025-08-03,P001,121,0,19,102,11
216,2025-08-04,P001,102,119,31,190,15
217,2025-08-05,P001,190,0,21,169,14
218,2025-08-06,P001,169,0,22,147,5
219,2025-08-07,P001,147,0,22,125,2
220,2025-08-08,P001,125,0,24,101,7
221,2025-08-09,P001,101,132,25,208,6
222,2025-08-10,P001,208,0,15,193,12
223,2025-08-11,P001,193,0,26,167,4
224,2025-08-12,P001,167,0,18,149,0
225,2025-08-13,P001,149,0,21,128,2
226,2025-08-14,P001,128,0,29,99,13
227,2025-08-15,P001,99,114,24,189,9
228,2025-08-16,P001,189,0,17,172,3
229,2025-08-17,P001,172,0,18,154,15
230,2025-08-18,P001,154,0,25,129,5
231,2025-08-19,P001,129,0,21,108,6
232,2025-08-20,P001,108,0,23,85,2
233,2025-08-21,P001,85,0,23,62,0
234,2025-08-22,P001,62,87,27,122,12
235,2025-08-23,P001,122,0,28,94,13
236,2025-08-24,P001,94,0,22,72,12
237,2025-08-25,P001,72,136,17,191,4
238,2025-08-26,P001,191,0,23,168,3
239,2025-08-27,P001,168,0,22,146,11
240,2025-08-28,P001,146,0,25,121,6
241,2025-08-29,P001,121,0,21,100,11
242,2025-08-30,P001,100,0,20,80,8
243,2025-08-31,P001,80,86,23,143,9
244,2025-09-01,P001,143,0,25,118,15
245,2025-09-02,P001,118,0,22,96,1
246,2025-09-03,P001,96,126,22,200,14
247,2025-09-04,P001,200,0,21,179,2
248,2025-09-05,P001,179,0,20,159,5
249,2025-09-06,P001,159,0,26,133,13
250,2025-09-07,P001,133,0,20,113,10
251,2025-09-08,P001,113,0,20,93,12
252,2025-09-09,P001,93,0,25,68,12
253,2025-09-10,P001,68,0,30,38,8
254,2025-09-11,P001,38,134,26,146,10
255,2025-09-12,P001,146,0,19,127,12
256,2025-09-13,P001,127,0,18,109,12
257,2025-09-14,P001,109,0,24,85,13
258,2025-09-15,P001,85,122,21,186,14
259,2025-09-16,P001,186,0,24,162,3
260,2025-09-17,P001,162,0,26,136,2
261,2025-09-18,P001,136,0,20,116,3
262,2025-09-19,P001,116,0,22,94,4
263,2025-09-20,P001,94,0,13,81,1
264,2025-09-21,P001,81,0,17,64,0
265,2025-09-22,P001,64,82,21,125,10
266,2025-09-23,P001,125,0,21,104,6
267,2025-09-24,P001,104,134,32,206,15
268,2025-09-25,P001,206,0,20,186,5
269,2025-09-26,P001,186,0,21,165,13
270,2025-09-27,P001,165,0,21,144,5
271,2025-09-28,P001,144,0,23,121,11
272,2025-09-29,P001,121,0,19,102,10
273,2025-09-30,P001,102,138,26,214,13
274,2025-10-01,P001,214,0,23,191,2
275,2025-10-02,P001,191,0,20,171,11
276,2025-10-03,P001,171,0,23,148,0
277,2025-10-04,P001,148,0,20,128,7
278,2025-10-05,P001,128,0,19,109,6
279,2025-10-06,P001,109,0,21,88,11
280,2025-10-07,P001,88,0,24,64,8
281,2025-10-08,P001,64,133,23,174,2
282,2025-10-09,P001,174,0,24,150,13
283,2025-10-10,P001,150,0,26,124,6
284,2025-10-11,P001,124,0,16,108,0
285,2025-10-12,P001,108,0,23,85,8
286,2025-10-13,P001,85,98,17,166,5
287,2025-10-14,P001,166,0,22,144,15
288,2025-10-15,P001,144,0,25,119,11
289,2025-10-16,P001,119,0,24,95,6
290,2025-10-17,P001,95,95,22,168,0
291,2025-10-18,P001,168,0,19,149,2
292,2025-10-19,P001,149,0,19,130,7
293,2025-10-20,P001,130,0,20,110,7
294,2025-10-21,P001,110,0,24,86,6
295,2025-10-22,P001,86,81,24,143,8
296,2025-10-23,P001,143,0,22,121,0
297,2025-10-24,P001,121,0,24,97,1
298,2025-10-25,P001,97,133,20,210,11
299,2025-10-26,P001,210,0,20,190,9
300,2025-10-27,P001,190,0,24,166,0
301,2025-10-28,P001,166,0,20,146,3
302,2025-10-29,P001,146,0,21,125,9
303,2025-10-30,P001,125,0,25,100,1
304,2025-10-31,P001,100,0,23,77,13
305,2025-11-01,P001,77,80,19,138,4
306,2025-11-02,P001,138,0,21,117,11
307,2025-11-03,P001,117,0,25,92,14
308,2025-11-04,P001,92,84,25,151,1
309,2025-11-05,P001,151,0,24,127,10
310,2025-11-06,P001,127,0,22,105,1
311,2025-11-07,P001,105,139,28,216,0
312,2025-11-08,P001,216,0,21,195,8
313,2025-11-09,P001,195,0,22,173,12
314,2025-11-10,P001,173,0,25,148,6
315,2025-11-11,P001,148,0,26,122,12
316,2025-11-12,P001,122,0,23,99,2
317,2025-11-13,P001,99,94,24,169,6
318,2025-11-14,P001,169,0,21,148,13
319,2025-11-15,P001,148,0,22,126,8
320,2025-11-16,P001,126,0,19,107,6
321,2025-11-17,P001,107,0,23,84,12
322,2025-11-18,P001,84,133,24,193,2
323,2025-11-19,P001,193,0,20,173,13
324,2025-11-20,P001,173,0,27,146,6
325,2025-11-21,P001,146,0,19,127,12
326,2025-11-22,P001,127,0,18,109,14
327,2025-11-23,P001,109,0,22,87,15
328,2025-11-24,P001,87,0,25,62,14
329,2025-11-25,P001,62,0,24,38,14
330,2025-11-26,P001,38,132,26,144,9
331,2025-11-27,P001,144,0,22,122,5
332,2025-11-28,P001,122,0,20,102,12
333,2025-11-29,P001,102,0,21,81,3
334,2025-11-30,P001,81,114,19,176,14
335,2025-12-01,P001,176,0,24,152,2
336,2025-12-02,P001,152,0,22,130,8
337,2025-12-03,P001,130,0,20,110,3
338,2025-12-04,P001,110,0,22,88,4
339,2025-12-05,P001,88,100,22,166,14
340,2025-12-06,P001,166,0,18,148,15
341,2025-12-07,P001,148,0,18,130,1
342,2025-12-08,P001,130,0,23,107,11
