order_id,product_id,supplier_id,order_date,quantity,expected_delivery,actual_delivery,status,unit_price
ORD0001,P020,S058,2025-12-04,271,2025-12-08,2025-12-07,DELIVERED,5380.58
ORD0002,P005,S013,2025-02-22,125,2025-03-01,,IN_TRANSIT,10648.34
ORD0003,P006,S016,2025-05-05,51,2025-05-10,2025-05-11,DELIVERED,4294.61
ORD0004,P004,S011,2025-05-02,152,2025-05-06,,IN_TRANSIT,19128.36
ORD0005,P017,S049,2025-04-02,144,2025-04-08,2025-04-14,DELAYED,4247.59
ORD0006,P008,S023,2025-09-07,57,2025-09-13,2025-09-14,DELIVERED,933.47
ORD0007,P014,S041,2025-07-23,167,2025-07-29,2025-08-01,DELAYED,4177.53
ORD0008,P007,S021,2025-11-28,88,2025-12-01,2025-12-02,DELIVERED,1845.5
ORD0009,P007,S021,2026-05-15,77,2026-05-18,2026-05-18,DELIVERED,1845.5
ORD0010,P004,S011,2026-04-21,223,2026-04-25,2026-04-26,DELIVERED,19128.36
ORD0011,P011,S033,2025-04-18,23,2025-04-26,2025-04-25,DELIVERED,6977.28
ORD0012,P003,S008,2026-02-26,160,2026-03-04,2026-03-04,DELIVERED,53109.89
ORD0013,P001,S002,2025-08-22,259,2025-09-01,,PENDING,63026.29
ORD0014,P013,S038,2025-05-13,79,2025-05-18,2025-05-19,DELIVERED,7565.69
ORD0015,P018,S052,2025-01-21,243,2025-01-23,2025-01-25,DELAYED,2167.73
ORD0016,P009,S027,2025-09-08,277,2025-09-16,2025-09-18,DELAYED,5324.37
ORD0017,P004,S012,2025-11-08,282,2025-11-13,2025-11-12,DELIVERED,18675.71
ORD0018,P020,S059,2026-08-14,77,2026-08-18,2026-08-17,DELIVERED,5357.71
ORD0019,P013,S038,2025-05-31,149,2025-06-05,2025-06-04,DELIVERED,7565.69
ORD0020,P017,S049,2025-11-20,30,2025-11-26,2025-11-26,DELIVERED,4247.59
ORD0021,P014,S042,2025-10-26,60,2025-11-03,,IN_TRANSIT,4070.82
ORD0022,P001,S001,2026-01-12,273,2026-01-17,,IN_TRANSIT,62605.11
ORD0023,P013,S037,2026-06-24,64,2026-06-28,2026-06-28,DELIVERED,7913.48
ORD0024,P009,S027,2025-08-16,59,2025-08-24,,IN_TRANSIT,5324.37
ORD0025,P008,S023,2025-07-08,133,2025-07-14,2025-07-14,DELIVERED,933.47
ORD0026,P019,S056,2025-08-26,88,2025-09-01,2025-09-08,DELAYED,2552.44
ORD0027,P005,S014,2025-06-10,126,2025-06-13,,IN_TRANSIT,10525.09
ORD0028,P020,S059,2026-02-16,144,2026-02-20,2026-02-20,DELIVERED,5357.71
ORD0029,P006,S017,2026-03-16,105,2026-03-21,2026-03-21,DELIVERED,4310.65
ORD0030,P004,S011,2025-08-28,68,2025-09-01,,IN_TRANSIT,19128.36
ORD0031,P011,S033,2025-06-20,247,2025-06-28,,PENDING,6977.28
ORD0032,P015,S044,2025-07-23,22,2025-07-27,2025-08-01,DELAYED,3790.06
ORD0033,P005,S014,2025-09-16,25,2025-09-19,2025-09-19,DELIVERED,10525.09
ORD0034,P010,S030,2026-06-22,40,2026-06-26,2026-06-26,DELIVERED,3043.46
ORD0035,P012,S036,2025-10-22,24,2025-10-28,,IN_TRANSIT,1401.38
ORD0036,P009,S027,2026-01-26,252,2026-02-03,,IN_TRANSIT,5324.37
ORD0037,P012,S034,2025-03-08,271,2025-03-13,2025-03-13,DELIVERED,1471.61
ORD0038,P016,S046,2025-11-17,132,2025-11-22,2025-11-23,DELIVERED,7414.89
ORD0039,P004,S012,2025-05-15,124,2025-05-20,,PENDING,18675.71
ORD0040,P013,S039,2025-11-29,190,2025-12-07,,IN_TRANSIT,7599.24
ORD0041,P010,S029,2025-09-22,75,2025-09-27,2025-09-28,DELIVERED,2995.73
ORD0042,P007,S019,2025-01-05,35,2025-01-10,2025-01-10,DELIVERED,1831.12
ORD0043,P020,S058,2025-01-02,131,2025-01-06,2025-01-09,DELAYED,5380.58
ORD0044,P009,S027,2025-01-13,141,2025-01-21,2025-01-22,DELIVERED,5324.37
ORD0045,P006,S017,2025-05-22,279,2025-05-27,2025-05-27,DELIVERED,4310.65
ORD0046,P007,S020,2026-01-31,159,2026-02-03,2026-02-03,DELIVERED,1862.66
ORD0047,P013,S038,2026-03-11,122,2026-03-16,2026-03-17,DELIVERED,7565.69
ORD0048,P002,S004,2026-01-23,238,2026-01-28,2026-02-01,DELAYED,56077.74
ORD0049,P018,S054,2025-02-24,166,2025-03-02,2025-03-06,DELAYED,2062.69
ORD0050,P001,S003,2026-02-05,228,2026-02-10,2026-02-10,DELIVERED,61661.14
ORD0051,P014,S042,2026-01-13,54,2026-01-21,,IN_TRANSIT,4070.82
ORD0052,P015,S043,2025-04-07,268,2025-04-15,,PENDING,3717.96
ORD0053,P019,S056,2025-06-05,138,2025-06-11,2025-06-10,DELIVERED,2552.44
ORD0054,P005,S014,2026-06-23,277,2026-06-26,2026-06-26,DELIVERED,10525.09
ORD0055,P019,S055,2025-05-10,294,2025-05-15,2025-05-15,DELIVERED,2611.87
ORD0056,P011,S032,2025-12-02,41,2025-12-10,,SHIPPED,6623.11
ORD0057,P010,S029,2025-06-25,283,2025-06-30,2025-07-01,DELIVERED,2995.73
ORD0058,P001,S003,2025-07-20,269,2025-07-25,2025-08-01,DELAYED,61661.14
ORD0059,P009,S026,2025-10-02,35,2025-10-07,2025-10-06,DELIVERED,5371.77
ORD0060,P003,S009,2025-01-04,188,2025-01-12,,IN_TRANSIT,52407.86
ORD0061,P017,S050,2026-08-14,267,2026-08-21,,SHIPPED,4223.28
ORD0062,P020,S058,2025-02-21,134,2025-02-25,,IN_TRANSIT,5380.58
ORD0063,P009,S025,2026-01-21,175,2026-01-28,2026-01-28,DELIVERED,5058.6
ORD0064,P005,S014,2025-04-28,226,2025-05-01,2025-05-06,DELAYED,10525.09
ORD0065,P017,S050,2025-06-23,276,2025-06-30,,IN_TRANSIT,4223.28
ORD0066,P019,S056,2026-05-14,252,2026-05-20,2026-05-23,DELAYED,2552.44
ORD0067,P010,S028,2026-05-28,183,2026-06-04,2026-06-09,DELAYED,3108.55
ORD0068,P007,S021,2026-01-05,262,2026-01-08,2026-01-08,DELIVERED,1845.5
ORD0069,P007,S020,2025-03-28,181,2025-03-31,2025-03-31,DELIVERED,1862.66
ORD0070,P002,S006,2026-01-04,254,2026-01-10,2026-01-14,DELAYED,58804.45
ORD0071,P018,S054,2025-03-12,180,2025-03-18,,SHIPPED,2062.69
ORD0072,P011,S032,2026-06-27,81,2026-07-05,2026-07-04,DELIVERED,6623.11
ORD0073,P003,S007,2026-01-13,177,2026-01-22,2026-01-22,DELIVERED,52496.35
ORD0074,P012,S036,2025-03-07,111,2025-03-13,2025-03-13,DELIVERED,1401.38
ORD0075,P016,S047,2025-08-29,264,2025-09-02,,PENDING,7383.78
ORD0076,P019,S057,2026-07-08,157,2026-07-11,2026-07-13,DELAYED,2566.54
ORD0077,P002,S004,2025-05-31,22,2025-06-05,,PENDING,56077.74
ORD0078,P008,S022,2025-06-22,285,2025-06-27,,SHIPPED,956.41
ORD0079,P002,S006,2026-03-29,287,2026-04-04,2026-04-09,DELAYED,58804.45
ORD0080,P003,S007,2026-05-06,289,2026-05-15,2026-05-15,DELIVERED,52496.35
