recommendation_id,product_id,recommendation_date,risk_level,recommended_action,recommended_quantity,supplier_id,supplier_score,estimated_unit_cost,estimated_purchase_value,rationale
1,P001,2026-08-21,MEDIUM,REPLENISH,105,S001,95.9,62605.11,6573536.55,"MEDIUM inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
2,P002,2026-08-21,HIGH,REPLENISH,525,S004,97.09,56077.74,29440813.5,"HIGH inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
3,P003,2026-08-21,HIGH,REPLENISH,675,S008,96.54,53109.89,35849175.75,"HIGH inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
4,P004,2026-08-21,HIGH,REPLENISH,500,S011,96.63,19128.36,9564180.0,"HIGH inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
5,P005,2026-08-21,HIGH,REPLENISH,330,S015,95.44,10293.92,3396993.6,"HIGH inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
6,P006,2026-08-21,HIGH,REPLENISH,560,S018,94.24,4095.0,2293200.0,"HIGH inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
7,P007,2026-08-21,LOW,MONITOR,75,S021,96.67,1845.5,138412.5,"LOW inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
8,P008,2026-08-21,HIGH,REPLENISH,900,S022,95.47,956.41,860769.0,"HIGH inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
9,P009,2026-08-21,MEDIUM,REPLENISH,180,S026,93.46,5371.77,966918.6,"MEDIUM inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
10,P010,2026-08-21,MEDIUM,REPLENISH,180,S030,98.21,3043.46,547822.8,"MEDIUM inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
11,P011,2026-08-21,HIGH,REPLENISH,360,S031,97.3,6910.39,2487740.4,"HIGH inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
12,P012,2026-08-21,MEDIUM,REPLENISH,625,S034,97.53,1471.61,919756.25,"MEDIUM inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
13,P013,2026-08-21,LOW,MONITOR,80,S037,94.05,7913.48,633078.4,"LOW inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
14,P014,2026-08-21,HIGH,REPLENISH,620,S040,92.62,4290.4,2660048.0,"HIGH inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
15,P015,2026-08-21,MEDIUM,REPLENISH,350,S044,95.47,3790.06,1326521.0,"MEDIUM inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
16,P016,2026-08-21,MEDIUM,REPLENISH,150,S047,91.73,7383.78,1107567.0,"MEDIUM inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
17,P017,2026-08-21,MEDIUM,REPLENISH,190,S051,96.37,4224.75,802702.5,"MEDIUM inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
18,P018,2026-08-21,MEDIUM,REPLENISH,170,S052,95.43,2167.73,368514.1,"MEDIUM inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
19,P019,2026-08-21,HIGH,REPLENISH,650,S057,92.99,2566.54,1668251.0,"HIGH inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
20,P020,2026-08-21,MEDIUM,REPLENISH,150,S059,96.56,5357.71,803656.5,"MEDIUM inventory risk; selected supplier based on reliability, accuracy, cost and lead time."
