sale_id,sale_date,product_id,units_sold,unit_price,promotion,discount_pct,sales_channel,day_of_week,day_of_month,month,quarter,week_of_year,is_weekend,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7
1,2025-01-01,P001,19,74999,False,0,Online,2,1,1,1,1,0,,,,,,,
2,2025-01-02,P001,18,74999,False,0,Online,3,2,1,1,1,0,19.0,,,,,,
3,2025-01-03,P001,19,74999,False,0,Retail,4,3,1,1,1,0,18.0,,,,,,
4,2025-01-04,P001,19,74999,False,0,Online,5,4,1,1,1,1,19.0,,,,,,
5,2025-01-05,P001,18,74999,True,10,Retail,6,5,1,1,1,1,19.0,,,,,,
6,2025-01-06,P001,18,74999,False,0,Online,0,6,1,1,2,0,18.0,,,,,,
7,2025-01-07,P001,21,74999,False,0,B2B,1,7,1,1,2,0,18.0,,,,,,
8,2025-01-08,P001,20,74999,False,0,Retail,2,8,1,1,2,0,21.0,19.0,,,18.857142857142858,,1.0690449676496976
9,2025-01-09,P001,17,74999,False,0,Online,3,9,1,1,2,0,20.0,18.0,,,19.0,,1.154700538379251
10,2025-01-10,P001,19,74999,False,0,Retail,4,10,1,1,2,0,17.0,19.0,,,18.857142857142858,,1.3451854182690985
11,2025-01-11,P001,19,74999,True,15,Online,5,11,1,1,2,1,19.0,19.0,,,18.857142857142858,,1.3451854182690985
12,2025-01-12,P001,15,74999,False,0,Online,6,12,1,1,2,1,19.0,18.0,,,18.857142857142858,,1.3451854182690985
13,2025-01-13,P001,19,74999,False,0,Online,0,13,1,1,3,0,15.0,18.0,,,18.428571428571427,,1.9880595947760105
14,2025-01-14,P001,14,74999,False,0,Retail,1,14,1,1,3,0,19.0,21.0,,,18.571428571428573,,1.9880595947760102
15,2025-01-15,P001,14,74999,False,0,Online,2,15,1,1,3,0,14.0,20.0,19.0,,17.571428571428573,,2.2990681342044414
16,2025-01-16,P001,21,74999,True,15,Online,3,16,1,1,3,0,14.0,17.0,18.0,,16.714285714285715,,2.360387377408331
17,2025-01-17,P001,16,74999,False,0,Online,4,17,1,1,3,0,21.0,19.0,19.0,,17.285714285714285,,2.8702082220799316
