supplier_id,supplier_name,product_id,unit_price,lead_time_days,reliability_score,order_accuracy,minimum_order_qty
S001,TechSource India,P001,62605.11,5,95.9,92.2,15
S002,Prime Electronics,P001,63026.29,10,95.89,94.91,50
S003,Vertex Distribution,P001,61661.14,5,88.12,92.09,50
S004,TechSource India,P002,56077.74,5,95.59,96.31,25
S005,Prime Electronics,P002,56864.99,8,90.34,97.82,15
S006,Vertex Distribution,P002,58804.45,6,90.33,91.94,20
S007,TechSource India,P003,52496.35,9,88.16,97.63,50
S008,Prime Electronics,P003,53109.89,6,95.76,94.83,25
S009,Vertex Distribution,P003,52407.86,8,96.95,95.57,20
S010,TechSource India,P004,18600.17,8,87.83,95.95,20
S011,Prime Electronics,P004,19128.36,4,97.4,93.42,25
S012,Vertex Distribution,P004,18675.71,5,88.95,93.2,20
S013,TechSource India,P005,10648.34,7,94.78,95.48,15
S014,Prime Electronics,P005,10525.09,3,88.96,93.42,50
S015,Vertex Distribution,P005,10293.92,4,97.11,96.98,15
S016,TechSource India,P006,4294.61,5,91.81,90.6,50
S017,Prime Electronics,P006,4310.65,5,89.55,94.49,25
S018,Vertex Distribution,P006,4095.0,4,89.96,95.05,20
S019,TechSource India,P007,1831.12,5,97.77,93.59,15
S020,Prime Electronics,P007,1862.66,3,93.11,90.82,10
S021,Vertex Distribution,P007,1845.5,3,94.53,97.13,25
S022,TechSource India,P008,956.41,5,91.58,98.97,50
S023,Prime Electronics,P008,933.47,6,97.33,90.1,10
S024,Vertex Distribution,P008,962.08,6,96.01,96.92,20
S025,TechSource India,P009,5058.6,7,88.9,90.03,20
S026,Prime Electronics,P009,5371.77,5,93.09,90.96,20
S027,Vertex Distribution,P009,5324.37,8,94.31,91.38,15
S028,TechSource India,P010,3108.55,7,98.02,95.39,25
S029,Prime Electronics,P010,2995.73,5,97.54,97.48,20
S030,Vertex Distribution,P010,3043.46,4,97.54,98.52,10
S031,TechSource India,P011,6910.39,5,98.74,94.79,15
S032,Prime Electronics,P011,6623.11,8,98.36,91.49,50
S033,Vertex Distribution,P011,6977.28,8,98.57,98.36,15
S034,TechSource India,P012,1471.61,5,98.94,95.85,25
S035,Prime Electronics,P012,1490.56,5,88.45,92.02,20
S036,Vertex Distribution,P012,1401.38,6,89.76,91.98,10
S037,TechSource India,P013,7913.48,4,89.75,98.15,20
S038,Prime Electronics,P013,7565.69,5,90.34,94.37,50
S039,Vertex Distribution,P013,7599.24,8,93.91,92.19,25
S040,TechSource India,P014,4290.4,4,88.13,95.93,20
S041,Prime Electronics,P014,4177.53,6,97.37,90.49,10
S042,Vertex Distribution,P014,4070.82,8,91.07,97.76,15
S043,TechSource India,P015,3717.96,8,92.38,93.8,20
S044,Prime Electronics,P015,3790.06,4,92.32,97.75,50
S045,Vertex Distribution,P015,3693.04,9,98.99,97.52,10
S046,TechSource India,P016,7414.89,5,89.0,94.37,15
S047,Prime Electronics,P016,7383.78,4,88.98,90.02,25
S048,Vertex Distribution,P016,7081.66,7,90.42,96.27,50
S049,TechSource India,P017,4247.59,6,88.86,92.67,10
S050,Prime Electronics,P017,4223.28,7,87.73,92.82,10
S051,Vertex Distribution,P017,4224.75,7,98.03,94.78,10
S052,TechSource India,P018,2167.73,2,97.22,90.62,10
S053,Prime Electronics,P018,2125.76,3,91.85,98.47,50
S054,Vertex Distribution,P018,2062.69,6,87.48,90.74,50
S055,TechSource India,P019,2611.87,5,98.22,91.84,20
S056,Prime Electronics,P019,2552.44,6,88.57,95.81,25
S057,Vertex Distribution,P019,2566.54,3,87.11,95.59,50
S058,TechSource India,P020,5380.58,4,93.45,94.55,15
S059,Prime Electronics,P020,5357.71,4,97.55,93.33,15
S060,Vertex Distribution,P020,5177.5,8,95.44,95.51,50
